GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GMH001,GMH002,GMH003,GMH004,GMH005,GMH006,GMH007,GMH008,GMH009,GMH010,GMH011,GMH012,GMH013,GMH014,GMH015,GMH016,GMH017,GMH018,GMH019,GMH020,GMH021,GMH022,GMH023,GMH024,GMH025,GMH026
"G3700750","2000","US","3","5","North Carolina","37","Graham","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"756451169","24687436","Graham County","A","+35350629","-083802157","06",,,114,567,449,31,96,69,4,14,58,117,81,110,25,33,42,246,22,228,27,13,72,21,563,192,21,83
"G3700770","2000","US","3","5","North Carolina","37","Granville","077",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1375586928","14105549","Granville County","A","+36278837","-078653861","06",,,453,1519,2744,386,1009,541,279,359,836,1159,344,489,638,102,137,1988,159,788,160,207,551,663,4048,414,293,609
"G3700790","2000","US","3","5","North Carolina","37","Greene","079",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"687379655","1281374","Greene County","A","+35480464","-077685488","06",,,502,643,1168,230,394,256,10,66,117,289,128,203,275,75,59,751,91,304,75,38,132,142,1376,206,157,206
"G3700810","2000","US","3","5","North Carolina","37","Guilford","081",,,,,"0",,,,,,,,,,,,,"3120","99","N","9999","9999","9",,,,,,,,,"1681997762","21439825","Guilford County","A","+36052635","-079846984","06",,,618,12356,25357,6758,12572,8542,2947,6908,10788,9203,8012,5124,3336,110,1726,14897,3292,12316,2887,2708,11091,8666,31389,7803,4897,2801
"G3700830","2000","US","3","5","North Carolina","37","Halifax","083",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1878666202","15514131","Halifax County","A","+36329359","-077658371","06",,,675,1230,2888,416,1066,707,140,269,423,633,434,540,946,83,59,1922,211,1362,203,196,460,320,3552,1018,427,679
"G3700850","2000","US","3","5","North Carolina","37","Harnett","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1541075745","16284130","Harnett County","A","+35352695","-078782390","06",,,764,4198,4688,919,2433,1040,414,438,1112,1426,813,969,1403,89,376,3436,220,2378,468,426,966,1153,5847,1304,792,1024
"G3700870","2000","US","3","5","North Carolina","37","Haywood","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1433982337","2488482","Haywood County","A","+35523376","-082960527","06",,,465,2330,3076,427,1603,679,127,334,737,1100,866,754,521,70,157,915,135,1435,157,162,640,605,4005,1429,899,473
"G3700890","2000","US","3","5","North Carolina","37","Henderson","089",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"968661402","2683714","Henderson County","A","+35324149","-082470975","06",,,637,3655,5712,849,2412,1039,255,758,1587,1561,1356,1123,678,174,328,2569,408,2439,467,321,1019,1116,6033,1493,1045,497
"G3700910","2000","US","3","5","North Carolina","37","Hertford","091",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"914933867","18553158","Hertford County","A","+36343491","-077003278","06",,,293,575,1393,108,425,218,38,78,171,373,159,201,275,54,43,573,65,600,71,54,189,168,1825,232,222,296
"G3700930","2000","US","3","5","North Carolina","37","Hoke","093",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1013241954","2911818","Hoke County","A","+34975358","-079240052","06",,,335,1127,1912,228,625,427,127,129,226,593,282,299,343,84,93,1593,66,756,158,70,250,204,2169,508,271,240
"G3700950","2000","US","3","5","North Carolina","37","Hyde","095",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1587132404","2101000128","Hyde County","A","+35508708","-076215859","06",,,329,150,99,29,122,94,11,25,37,84,74,15,126,26,25,72,33,125,42,9,107,23,261,126,35,157
"G3700970","2000","US","3","5","North Carolina","37","Iredell","097",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1490714443","55524616","Iredell County","A","+35742202","-080870323","06",,,834,4308,10498,1986,3706,2478,536,1205,1738,1708,1776,1294,940,241,432,6690,867,3546,674,284,1747,1715,8053,1980,1417,551
"G3700990","2000","US","3","5","North Carolina","37","Jackson","099",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1270944084","9815969","Jackson County","A","+35313469","-083183862","06",,,246,1515,855,165,949,388,118,253,617,1474,1032,356,330,35,76,466,41,971,85,108,315,472,3112,1101,367,241
